StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,mortality_HRI,worker_HRI_cases
44,Rhode Island,2013,55015,5,10,78,79,40,212,19,0,0,0,5,1,0,5,9,5,20,14,0,0,0,Suppressed,No Data
44,Rhode Island,2014,54797,3,7,29,44,12,95,15,0,0,0,5,0,0,1,1,5,7,10,0,0,0,Suppressed,No Data
44,Rhode Island,2015,57265,3,8,43,53,24,131,19,2,0,0,5,0,0,1,6,4,11,8,0,0,0,0,No Data
44,Rhode Island,2016,60046,1,6,55,79,31,172,47,1,0,0,5,0,0,0,8,4,12,29,0,0,0,Suppressed,No Data
44,Rhode Island,2017,62923,0,15,41,39,22,117,0,0,0,0,5,0,0,2,5,10,17,0,0,0,0,0,No Data
44,Rhode Island,2018,63787,3,7,60,71,28,169,47,7,0,0,5,0,0,5,8,14,27,32,2,0,0,Suppressed,No Data
44,Rhode Island,2019,70383,1,7,66,53,30,157,6,0,0,0,5,0,1,3,6,7,17,6,0,0,0,Suppressed,No Data
44,Rhode Island,2020,73919,0,1,22,28,16,67,52,6,0,0,5,0,0,4,3,3,10,40,6,0,0,0,No Data
45,South Carolina,2011,42477,17,92,904,969,251,2233,4383,2199,500,14,46,1,3,54,160,68,286,4307,2011,396,6,10,90
45,South Carolina,2012,43290,15,56,650,760,185,1666,2598,1055,427,70,46,1,2,33,97,49,182,2434,979,396,58,10,20
45,South Carolina,2013,44310,11,51,462,529,141,1194,538,34,0,0,46,0,0,37,63,24,124,421,18,0,0,Suppressed,40
45,South Carolina,2014,45337,16,74,638,667,179,1574,2730,1044,237,0,46,1,0,33,78,41,153,2494,921,198,0,Suppressed,60
45,South Carolina,2016,49587,20,102,990,1189,364,2665,3138,711,6,0,46,0,0,48,135,70,253,2990,559,0,0,12,450
45,South Carolina,2017,50675,19,56,655,929,265,1924,1902,188,0,0,46,0,1,42,106,45,194,1668,145,0,0,10,80
45,South Carolina,2018,52449,10,62,776,976,345,2169,2823,362,0,0,46,0,3,61,110,58,232,2538,304,0,0,23,70
45,South Carolina,2019,56360,21,69,890,1101,375,2456,3909,1138,31,0,46,1,1,68,111,77,258,3761,997,9,0,Suppressed,110
45,South Carolina,2020,57216,9,27,501,709,267,1513,1964,81,0,0,46,0,0,43,66,43,152,1785,44,0,0,13,20
47,Tennessee,2011,41691,33,149,1276,1519,383,3360,4043,1106,221,31,95,1,1,63,209,112,386,3837,970,168,14,20,180
47,Tennessee,2012,42743,28,126,986,1230,326,2696,4298,1862,696,162,95,1,1,50,157,88,297,4042,1741,620,121,25,140
47,Tennessee,2013,44268,12,84,667,790,193,1746,1185,272,63,0,95,0,1,37,84,35,157,1001,215,61,0,Suppressed,160
47,Tennessee,2014,44357,19,93,681,797,208,1798,3325,1169,369,49,95,0,0,27,76,38,141,3036,1030,333,44,Suppressed,90
47,Tennessee,2015,47243,38,117,1020,1236,316,2727,2505,323,4,0,95,0,1,49,147,69,266,2204,274,0,0,22,40
47,Tennessee,2016,48506,25,145,1282,1537,386,3375,3483,162,0,0,95,0,1,57,181,85,324,3034,95,0,0,18,120
47,Tennessee,2017,51319,22,98,850,1056,266,2292,1446,154,0,0,95,0,3,44,113,52,212,1259,123,0,0,14,60
47,Tennessee,2018,52366,35,148,982,1420,461,3046,2280,196,2,0,95,0,1,46,149,80,276,1992,134,0,0,20,70
47,Tennessee,2019,56047,18,133,994,1412,400,2957,2579,206,2,0,95,0,3,46,158,85,292,2331,167,0,0,13,140
47,Tennessee,2020,56962,16,64,605,768,293,1746,1256,11,0,0,95,0,0,31,91,54,176,1005,3,0,0,11,380
49,Utah,2011,55802,3,22,83,61,26,195,322,77,10,0,29,0,1,1,6,9,17,279,66,8,0,Suppressed,No Data
49,Utah,2012,57067,4,23,98,86,27,238,661,128,17,2,29,0,0,12,9,6,27,618,109,13,2,Suppressed,20
49,Utah,2013,59715,6,36,130,115,53,340,505,125,26,6,29,0,0,4,18,11,33,474,111,24,6,Suppressed,No Data
49,Utah,2014,60943,8,20,119,75,32,254,263,60,9,0,29,0,0,5,11,5,21,233,49,7,0,Suppressed,No Data
49,Utah,2015,62961,8,20,107,97,37,269,415,107,23,4,29,0,2,3,7,6,18,368,96,21,3,Suppressed,No Data
49,Utah,2016,65931,11,31,137,115,29,323,419,103,22,4,29,1,0,7,23,13,44,390,92,17,3,Suppressed,No Data
49,Utah,2017,68395,11,26,113,124,55,329,508,105,24,4,29,0,0,9,12,16,37,468,92,23,4,Suppressed,No Data
49,Utah,2018,71381,15,32,137,132,54,370,777,204,38,4,29,0,1,6,22,13,42,724,166,32,4,Suppressed,No Data
49,Utah,2019,75705,9,29,118,127,42,325,488,93,21,0,29,0,2,3,15,9,29,454,75,18,0,Suppressed,No Data
49,Utah,2020,77785,10,15,106,154,50,335,808,267,48,13,29,1,0,10,21,9,41,766,251,45,13,Suppressed,No Data
51,Virginia,2020,79154,13,42,431,614,256,1356,2784,520,24,0,133,0,1,33,64,65,163,2401,454,22,0,11,120
55,Wisconsin,2011,50401,11,90,499,523,208,1331,1276,433,133,40,72,0,1,13,54,46,114,947,270,68,21,Suppressed,90
55,Wisconsin,2012,51063,25,102,628,675,281,1711,2577,1392,585,204,72,0,1,17,52,85,155,2321,1097,451,136,23,70
55,Wisconsin,2013,51474,13,53,384,383,137,970,1240,617,234,13,72,0,1,12,34,31,78,1059,505,147,0,11,30
55,Wisconsin,2014,52632,11,29,175,164,69,448,1127,309,102,12,72,0,0,4,7,15,26,828,147,40,0,Suppressed,20
55,Wisconsin,2015,55623,14,59,297,299,124,793,611,117,6,0,72,0,0,7,25,17,49,469,41,0,0,Suppressed,50
55,Wisconsin,2016,56808,16,58,396,402,181,1053,289,1,0,0,72,0,0,16,25,22,63,127,0,0,0,Suppressed,20
55,Wisconsin,2017,59300,11,45,256,235,147,694,53,0,0,0,72,0,0,9,17,32,58,33,0,0,0,Suppressed,50
55,Wisconsin,2018,60779,17,59,427,513,250,1266,392,4,0,0,72,0,1,11,32,38,82,245,0,0,0,Suppressed,70
55,Wisconsin,2019,64177,15,49,295,346,166,871,82,3,0,0,72,1,0,6,21,29,57,42,0,0,0,Suppressed,20
55,Wisconsin,2020,64901,6,32,266,316,171,791,123,0,0,0,72,1,0,8,23,35,67,56,0,0,0,Suppressed,20
