StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,mortality_HRI,worker_HRI_cases
12,Florida,2017,52582,64,278,2085,2769,1151,6347,2740,221,6,0,67,6,4,247,497,331,1085,2384,181,0,0,42,No Data
12,Florida,2018,55433,71,277,1960,2495,950,5753,2482,8,0,0,67,6,10,230,489,264,999,2136,0,0,0,15,No Data
12,Florida,2019,59198,56,285,2336,3014,1113,6804,4010,490,0,0,67,3,4,307,579,311,1204,3710,431,0,0,27,No Data
12,Florida,2020,61724,16,110,1570,2118,947,4761,4109,328,7,0,67,0,2,242,432,277,953,3787,233,6,0,41,No Data
19,Iowa,2011,49545,16,98,579,586,192,1471,5131,2988,1447,667,99,0,1,15,54,33,103,4772,2606,1202,495,Suppressed,160
19,Iowa,2012,50997,13,66,603,564,194,1440,6717,4842,2786,1339,99,1,0,17,53,31,102,6391,4607,2488,1228,10,30
19,Iowa,2013,52286,11,45,352,367,128,903,4117,2110,1144,297,99,0,1,7,30,19,57,3658,1809,916,110,Suppressed,80
19,Iowa,2014,53816,9,33,203,181,78,504,3324,1260,372,117,99,0,0,1,9,2,12,2890,1004,221,70,Suppressed,No Data
19,Iowa,2015,54843,14,56,295,297,112,774,1654,218,20,0,99,0,1,5,21,4,31,1194,98,4,0,Suppressed,20
19,Iowa,2016,56354,14,71,456,471,160,1172,2675,501,28,0,99,0,0,7,26,19,52,2220,282,6,0,Suppressed,50
19,Iowa,2017,58706,18,59,344,357,138,916,3346,1073,334,53,99,0,0,2,6,6,14,2990,854,229,9,Suppressed,80
19,Iowa,2018,60071,17,71,415,466,203,1172,3194,1087,243,13,99,0,0,0,8,4,12,2818,854,161,4,Suppressed,30
19,Iowa,2019,61807,13,63,337,394,160,967,1265,85,6,0,99,0,1,11,16,26,54,934,24,0,0,Suppressed,No Data
19,Iowa,2020,62362,9,30,256,394,149,838,2907,1177,461,17,99,0,1,6,28,9,44,2497,1055,398,9,Suppressed,60
20,Kansas,2011,48844,8,60,393,483,159,1103,10202,8127,5614,2610,105,1,0,28,89,62,180,9770,7841,5194,2244,37,70
20,Kansas,2012,50140,10,64,367,356,97,894,10271,7081,4548,2299,105,0,2,20,47,53,122,9866,6385,4198,2110,11,70
