StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties.x,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,num_counties.y,mortality_HRI,worker_HRI_cases
06,California,2020,83001,29,88,1436,2345,1181,5079,70.34482758620689,48.08620689655172,29.896551724137932,14.275862068965518,58,6,8,138,442,407,1001,68.58620689655173,46.53448275862069,29.03448275862069,13.275862068965518,58,128,240
08,Colorado,2013,58942,17,39,121,96,29,302,23.765625,10.171875,2.171875,0.296875,64,0,0,11,12,19,42,22,8.96875,1.625,0.0625,64,Suppressed,No Data
08,Colorado,2014,61324,8,18,95,87,29,237,13.390625,4.78125,0.828125,0,64,0,0,2,7,6,15,11.734375,3.90625,0.375,0,64,Suppressed,No Data
08,Colorado,2015,63945,9,36,130,132,48,355,17.765625,5.53125,0.34375,0,64,1,0,5,23,15,44,15.203125,4.046875,0.0625,0,64,Suppressed,No Data
08,Colorado,2016,65718,14,46,171,160,76,467,19.5,6.984375,1.0625,0,64,1,0,7,16,17,41,17.765625,5.1875,0.765625,0,64,Suppressed,No Data
08,Colorado,2017,69113,11,25,127,106,54,323,14.859375,4.515625,0.625,0,64,0,0,5,9,21,35,13.03125,3.046875,0.25,0,64,Suppressed,No Data
08,Colorado,2018,71949,13,30,165,178,70,456,26.109375,9.296875,1.6875,0.125,64,0,0,8,23,16,47,23.578125,7.5625,1.375,0.09375,64,Suppressed,No Data
08,Colorado,2019,77104,7,27,137,159,59,389,22.5,8.640625,1.625,0.078125,64,1,0,4,18,24,47,20.09375,7.109375,1.25,0.03125,64,Suppressed,No Data
08,Colorado,2020,77688,1,10,90,131,70,302,29.375,13.484375,2.5,0,64,0,0,4,22,16,42,27.3125,11.78125,1.296875,0,64,11,No Data
09,Connecticut,2011,65822,2,31,120,143,32,328,2.625,0.25,0,0,8,0,0,6,15,22,43,2.5,0,0,0,8,Suppressed,No Data
09,Connecticut,2012,67275,15,56,216,223,77,587,2.25,0,0,0,8,1,0,8,25,24,58,0.75,0,0,0,8,Suppressed,40
09,Connecticut,2013,67262,16,56,218,257,104,651,3.75,0,0,0,8,0,0,7,30,31,68,3,0,0,0,8,Suppressed,30
09,Connecticut,2014,70007,10,25,90,115,34,274,1,0,0,0,8,1,0,7,12,6,26,0,0,0,0,8,Suppressed,No Data
09,Connecticut,2015,71333,10,28,123,135,52,348,0.75,0,0,0,8,0,0,5,14,13,32,0,0,0,0,8,0,20
09,Connecticut,2016,73380,12,36,155,161,76,440,2.75,0,0,0,8,0,1,7,22,15,45,1.125,0,0,0,8,Suppressed,No Data
09,Connecticut,2017,74428,14,46,110,141,50,361,0,0,0,0,8,0,1,5,16,23,45,0,0,0,0,8,Suppressed,20
09,Connecticut,2018,76366,4,36,181,238,89,548,2.75,0,0,0,8,1,2,10,25,19,57,1.75,0,0,0,8,Suppressed,No Data
09,Connecticut,2019,78920,7,41,166,209,69,492,1.625,0,0,0,8,0,0,7,22,16,45,1.25,0,0,0,8,Suppressed,No Data
09,Connecticut,2020,79723,4,14,98,129,59,304,1.375,0,0,0,8,0,0,1,22,18,41,0.75,0,0,0,8,Suppressed,No Data
12,Florida,2011,44250,55,262,1536,1817,594,4264,85.01492537313433,27.253731343283583,3.417910447761194,0.029850746268656716,67,4,4,150,355,224,737,80.70149253731343,24.388059701492537,2.343283582089552,0,67,16,No Data
12,Florida,2012,45006,51,205,1243,1542,501,3542,46.1044776119403,4.253731343283582,0.2537313432835821,0,67,2,11,122,292,162,589,41.149253731343286,3,0.2537313432835821,0,67,17,No Data
12,Florida,2013,46021,69,192,1283,1456,475,3475,30.08955223880597,0.417910447761194,0,0,67,2,8,127,249,151,537,25.044776119402986,0.05970149253731343,0,0,67,16,No Data
12,Florida,2014,47439,70,254,1662,1902,645,4533,64.61194029850746,18.507462686567163,1.6417910447761195,0,67,3,9,182,360,180,734,60.208955223880594,16.08955223880597,1.4179104477611941,0,67,18,No Data
12,Florida,2015,49416,58,218,1987,2239,707,5209,50.53731343283582,3.0597014925373136,0.014925373134328358,0,67,3,8,217,399,204,831,46.26865671641791,2.298507462686567,0,0,67,18,No Data
12,Florida,2016,50857,57,311,2337,2818,961,6484,56.82089552238806,4.611940298507463,0,0,67,4,3,294,565,246,1112,52.223880597014926,3.656716417910448,0,0,67,29,No Data
12,Florida,2017,52582,64,278,2085,2769,1151,6347,40.8955223880597,3.298507462686567,0.08955223880597014,0,67,6,4,247,497,331,1085,35.582089552238806,2.701492537313433,0,0,67,42,No Data
12,Florida,2018,55433,71,277,1960,2495,950,5753,37.04477611940298,0.11940298507462686,0,0,67,6,10,230,489,264,999,31.880597014925375,0,0,0,67,15,No Data
12,Florida,2019,59198,56,285,2336,3014,1113,6804,59.850746268656714,7.313432835820896,0,0,67,3,4,307,579,311,1204,55.37313432835821,6.432835820895522,0,0,67,27,No Data
12,Florida,2020,61724,16,110,1570,2118,947,4761,61.32835820895522,4.895522388059701,0.1044776119402985,0,67,0,2,242,432,277,953,56.52238805970149,3.4776119402985075,0.08955223880597014,0,67,41,No Data
19,Iowa,2011,49545,16,98,579,586,192,1471,51.82828282828283,30.181818181818183,14.616161616161616,6.737373737373737,99,0,1,15,54,33,103,48.2020202020202,26.32323232323232,12.141414141414142,5,99,Suppressed,160
19,Iowa,2012,50997,13,66,603,564,194,1440,67.84848484848484,48.90909090909091,28.141414141414142,13.525252525252526,99,1,0,17,53,31,102,64.55555555555556,46.535353535353536,25.13131313131313,12.404040404040405,99,10,30
19,Iowa,2013,52286,11,45,352,367,128,903,41.58585858585859,21.31313131313131,11.555555555555555,3,99,0,1,7,30,19,57,36.94949494949495,18.272727272727273,9.252525252525253,1.1111111111111112,99,Suppressed,80
19,Iowa,2014,53816,9,33,203,181,78,504,33.57575757575758,12.727272727272727,3.757575757575758,1.1818181818181819,99,0,0,1,9,2,12,29.19191919191919,10.141414141414142,2.2323232323232323,0.7070707070707071,99,Suppressed,No Data
19,Iowa,2015,54843,14,56,295,297,112,774,16.707070707070706,2.202020202020202,0.20202020202020202,0,99,0,1,5,21,4,31,12.06060606060606,0.98989898989899,0.04040404040404041,0,99,Suppressed,20
19,Iowa,2016,56354,14,71,456,471,160,1172,27.02020202020202,5.0606060606060606,0.2828282828282828,0,99,0,0,7,26,19,52,22.424242424242426,2.8484848484848486,0.06060606060606061,0,99,Suppressed,50
19,Iowa,2017,58706,18,59,344,357,138,916,33.7979797979798,10.83838383838384,3.3737373737373737,0.5353535353535354,99,0,0,2,6,6,14,30.2020202020202,8.626262626262626,2.313131313131313,0.09090909090909091,99,Suppressed,80
19,Iowa,2018,60071,17,71,415,466,203,1172,32.26262626262626,10.97979797979798,2.4545454545454546,0.13131313131313133,99,0,0,0,8,4,12,28.464646464646464,8.626262626262626,1.6262626262626263,0.04040404040404041,99,Suppressed,30
19,Iowa,2019,61807,13,63,337,394,160,967,12.777777777777779,0.8585858585858586,0.06060606060606061,0,99,0,1,11,16,26,54,9.434343434343434,0.24242424242424243,0,0,99,Suppressed,No Data
19,Iowa,2020,62362,9,30,256,394,149,838,29.363636363636363,11.88888888888889,4.656565656565657,0.1717171717171717,99,0,1,6,28,9,44,25.22222222222222,10.656565656565656,4.02020202020202,0.09090909090909091,99,Suppressed,60
20,Kansas,2011,48844,8,60,393,483,159,1103,97.16190476190476,77.4,53.46666666666667,24.857142857142858,105,1,0,28,89,62,180,93.04761904761905,74.67619047619047,49.46666666666667,21.37142857142857,105,37,70
20,Kansas,2012,50140,10,64,367,356,97,894,97.81904761904762,67.43809523809524,43.31428571428572,21.895238095238096,105,0,2,20,47,53,122,93.96190476190476,60.80952380952381,39.98095238095238,20.095238095238095,105,11,70
20,Kansas,2013,50892,3,40,239,260,82,624,80.4,50.96190476190476,22.961904761904762,5.40952380952381,105,0,1,13,46,43,103,77.24761904761905,47.76190476190476,20.542857142857144,3.066666666666667,105,Suppressed,50
20,Kansas,2014,52392,6,33,242,236,62,579,89.19047619047619,56.23809523809524,28.047619047619047,7.695238095238095,105,0,0,15,27,22,64,83.55238095238096,50.05714285714286,24.21904761904762,5.857142857142857,105,Suppressed,20
20,Kansas,2015,53802,10,45,297,343,118,813,69.29523809523809,33.59047619047619,8.00952380952381,0.6,105,0,0,9,42,29,80,64.52380952380952,29.276190476190475,5.476190476190476,0.19047619047619047,105,Suppressed,140
